날짜,시도,측정소,PM10,PM25
2016-01-29,서울,성북구,51,29
2016-01-30,서울,성북구,58,34
2016-01-31,서울,성북구,50,32
2016-01-01,서울,도봉구,71,46
2016-01-02,서울,도봉구,55,40
2016-01-03,서울,도봉구,112,76
2016-01-04,서울,도봉구,138,80
2016-01-05,서울,도봉구,36,24
2016-01-06,서울,도봉구,62,31
2016-01-07,서울,도봉구,62,31
2016-01-08,서울,도봉구,30,18
2016-01-09,서울,도봉구,27,21
2016-01-10,서울,도봉구,32,17
2016-01-11,서울,도봉구,44,20
2016-01-12,서울,도봉구,57,22
2016-01-13,서울,도봉구,29,18
2016-01-14,서울,도봉구,38,27
2016-01-15,서울,도봉구,71,43
2016-01-16,서울,도봉구,79,52
2016-01-17,서울,도봉구,79,55
2016-01-18,서울,도봉구,83,57
2016-01-19,서울,도봉구,30,16
2016-01-20,서울,도봉구,55,29
2016-01-21,서울,도봉구,62,34
2016-01-22,서울,도봉구,56,31
2016-01-23,서울,도봉구,32,9
2016-01-24,서울,도봉구,21,14
2016-01-25,서울,도봉구,71,19
2016-01-26,서울,도봉구,77,27
2016-01-27,서울,도봉구,60,26
2016-01-28,서울,도봉구,66,36
2016-01-29,서울,도봉구,72,27
2016-01-30,서울,도봉구,70,40
2016-01-31,서울,도봉구,75,39
2016-01-01,서울,은평구,65,36
2016-01-02,서울,은평구,65,24
2016-01-03,서울,은평구,147,88
2016-01-04,서울,은평구,157,98
2016-01-05,서울,은평구,40,20
2016-01-06,서울,은평구,68,32
2016-01-07,서울,은평구,74,24
2016-01-08,서울,은평구,39,19
2016-01-09,서울,은평구,41,23
2016-01-10,서울,은평구,43,12
2016-01-11,서울,은평구,51,29
2016-01-12,서울,은평구,58,35
2016-01-13,서울,은평구,47,23
2016-01-14,서울,은평구,40,24
2016-01-15,서울,은평구,47,31
2016-01-16,서울,은평구,61,43
2016-01-17,서울,은평구,74,50
2016-01-18,서울,은평구,72,62
2016-01-19,서울,은평구,35,17
2016-01-20,서울,은평구,38,25
2016-01-21,서울,은평구,73,37
2016-01-22,서울,은평구,75,48
2016-01-23,서울,은평구,30,14
2016-01-24,서울,은평구,32,17
2016-01-25,서울,은평구,62,16
2016-01-26,서울,은평구,73,41
2016-01-27,서울,은평구,69,45
2016-01-28,서울,은평구,67,29
2016-01-29,서울,은평구,56,31
2016-01-30,서울,은평구,62,30
2016-01-31,서울,은평구,51,19
2016-01-01,서울,서대문구,83,45
2016-01-02,서울,서대문구,70,35
2016-01-03,서울,서대문구,148,77
2016-01-04,서울,서대문구,162,82
2016-01-05,서울,서대문구,51,23
2016-01-06,서울,서대문구,79,36
2016-01-07,서울,서대문구,67,32
2016-01-08,서울,서대문구,49,26
2016-01-09,서울,서대문구,49,26
2016-01-10,서울,서대문구,38,19
2016-01-11,서울,서대문구,60,31
2016-01-12,서울,서대문구,68,24
2016-01-13,서울,서대문구,44,20
2016-01-14,서울,서대문구,49,29
2016-01-15,서울,서대문구,65,35
2016-01-16,서울,서대문구,59,38
2016-01-17,서울,서대문구,89,56
2016-01-18,서울,서대문구,83,56
2016-01-19,서울,서대문구,29,17
2016-01-20,서울,서대문구,43,24
2016-01-21,서울,서대문구,71,34
2016-01-22,서울,서대문구,65,34
2016-01-23,서울,서대문구,24,12
2016-01-24,서울,서대문구,41,10
2016-01-25,서울,서대문구,82,26
2016-01-26,서울,서대문구,78,41
2016-01-27,서울,서대문구,65,29
2016-01-28,서울,서대문구,58,32
2016-01-29,서울,서대문구,52,30
2016-01-30,서울,서대문구,64,30
2016-01-31,서울,서대문구,66,30
2016-01-01,서울,마포구,78,65
2016-01-02,서울,마포구,55,42
2016-01-03,서울,마포구,126,99
2016-01-04,서울,마포구,134,103
2016-01-05,서울,마포구,31,19
2016-01-06,서울,마포구,53,34
2016-01-07,서울,마포구,44,31
2016-01-08,서울,마포구,31,23
2016-01-09,서울,마포구,38,27
2016-01-10,서울,마포구,28,21
2016-01-11,서울,마포구,40,25
2016-01-12,서울,마포구,44,27
2016-01-13,서울,마포구,31,19
2016-01-14,서울,마포구,40,32
2016-01-15,서울,마포구,56,43
2016-01-16,서울,마포구,58,46
2016-01-17,서울,마포구,82,64
2016-01-18,서울,마포구,87,67
2016-01-19,서울,마포구,19,13
2016-01-20,서울,마포구,33,22
2016-01-21,서울,마포구,48,33
2016-01-22,서울,마포구,46,32
2016-01-23,서울,마포구,16,12
2016-01-24,서울,마포구,24,13
2016-01-25,서울,마포구,49,24
2016-01-26,서울,마포구,58,40
2016-01-27,서울,마포구,49,33
2016-01-28,서울,마포구,54,33
2016-01-29,서울,마포구,45,29
2016-01-30,서울,마포구,45,32
2016-01-31,서울,마포구,40,25
2016-01-01,서울,강서구,100,76
2016-01-02,서울,강서구,41,31
2016-01-03,서울,강서구,0,77
2016-01-04,서울,강서구,21,92
2016-01-05,서울,강서구,48,23
2016-01-06,서울,강서구,66,26
2016-01-07,서울,강서구,60,23
2016-01-08,서울,강서구,61,24
2016-01-09,서울,강서구,51,22
2016-01-10,서울,강서구,43,18
2016-01-11,서울,강서구,52,21
2016-01-12,서울,강서구,52,19
2016-01-13,서울,강서구,47,18
2016-01-14,서울,강서구,49,26
2016-01-15,서울,강서구,72,36
2016-01-16,서울,강서구,72,33
2016-01-17,서울,강서구,103,69
2016-01-18,서울,강서구,96,68
2016-01-19,서울,강서구,33,16
2016-01-20,서울,강서구,53,24
2016-01-21,서울,강서구,60,33
2016-01-22,서울,강서구,49,25
2016-01-23,서울,강서구,32,13
2016-01-24,서울,강서구,38,16
2016-01-25,서울,강서구,89,23
2016-01-26,서울,강서구,90,37
2016-01-27,서울,강서구,79,30
2016-01-28,서울,강서구,71,32
2016-01-29,서울,강서구,62,21
2016-01-30,서울,강서구,62,28
2016-01-31,서울,강서구,51,25
2016-01-01,서울,구로구,87,84
2016-01-02,서울,구로구,57,35
